epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
99,1636.08,0.47227,0.42162,0.01861,0.92187,0.91649,0.94681,0.45096,0.58799,0.46027,0.0243,0.0014456,0.0014456,0.0014456
100,1652.61,0.47767,0.42358,0.01749,0.91954,0.92976,0.95257,0.41876,0.62456,0.47381,0.02587,0.00143994,0.00143994,0.00143994
101,1669.04,0.47765,0.4218,0.01741,0.93372,0.93737,0.96022,0.51113,0.51324,0.45822,0.01934,0.00143429,0.00143429,0.00143429
102,1685.5,0.49721,0.42364,0.0169,0.92875,0.93017,0.95576,0.44325,0.5923,0.46424,0.02382,0.00142863,0.00142863,0.00142863
103,1701.84,0.48711,0.4274,0.01728,0.90005,0.90641,0.92263,0.31086,0.72629,0.47248,0.03067,0.00142297,0.00142297,0.00142297
104,1718.25,0.54649,0.43094,0.02277,0.93128,0.9424,0.95875,0.49638,0.52407,0.45074,0.02023,0.00141731,0.00141731,0.00141731
105,1734.85,0.50401,0.42954,0.01878,0.92369,0.92371,0.94551,0.45607,0.59948,0.45111,0.02654,0.00141166,0.00141166,0.00141166
106,1751.34,0.50032,0.43165,0.01675,0.9378,0.93737,0.96236,0.60089,0.44258,0.4338,0.0158,0.001406,0.001406,0.001406
107,1767.77,0.48241,0.42481,0.01865,0.91714,0.92432,0.94343,0.45551,0.58164,0.46332,0.02353,0.00140034,0.00140034,0.00140034
108,1784.41,0.5578,0.43219,0.02011,0.92292,0.91373,0.9409,0.44828,0.57559,0.45551,0.02263,0.00139469,0.00139469,0.00139469
109,1800.99,0.4658,0.4181,0.01718,0.92358,0.92081,0.94559,0.42122,0.61593,0.47793,0.02607,0.00138903,0.00138903,0.00138903
110,1817.52,0.46415,0.41909,0.01596,0.92598,0.9187,0.9411,0.42038,0.62814,0.45861,0.02758,0.00138337,0.00138337,0.00138337
