epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3456.48,1.63165,0.78368,0.75883,0.91907,0.90195,0.92765,0.40905,1.53918,0.6239,0.64048,0.0012278,0.0012278,0.0012278
80,3499.09,1.72931,0.79849,0.78998,0.90841,0.91688,0.93547,0.457,1.4071,0.63153,0.63702,0.0012179,0.0012179,0.0012179
81,3541.58,1.66363,0.78286,0.78258,0.91086,0.81826,0.89721,0.41993,1.44522,0.71118,0.63106,0.001208,0.001208,0.001208
82,3583.8,1.63215,0.83231,0.74684,0.90751,0.89453,0.92365,0.43628,1.40977,0.67062,0.63273,0.0011981,0.0011981,0.0011981
83,3626.04,1.6738,0.75331,0.78221,0.90691,0.88799,0.9177,0.41222,1.51039,0.67674,0.63824,0.0011882,0.0011882,0.0011882
84,3668.38,1.606,0.74162,0.75205,0.91802,0.90495,0.93057,0.4238,1.47654,0.69965,0.64061,0.0011783,0.0011783,0.0011783
85,3710.95,1.65478,0.76509,0.77263,0.9019,0.83196,0.89823,0.4267,1.43845,0.68193,0.63116,0.0011684,0.0011684,0.0011684
86,3754.3,1.62428,0.7539,0.77169,0.91617,0.90357,0.9277,0.42232,1.50688,0.69809,0.64046,0.0011585,0.0011585,0.0011585
87,3797.68,1.60291,0.74897,0.75974,0.89577,0.83927,0.88349,0.41849,1.40823,0.67418,0.62703,0.0011486,0.0011486,0.0011486
88,3841.61,1.68338,0.91239,0.78416,0.8532,0.86523,0.87879,0.38138,1.50169,2.61312,0.63397,0.0011387,0.0011387,0.0011387
89,3885.23,1.73945,0.87994,0.77388,0.84369,0.5957,0.73089,0.30665,1.74616,1.20405,0.64318,0.0011288,0.0011288,0.0011288
90,3930.11,1.79737,0.91885,0.80681,0.91871,0.9082,0.93506,0.41433,1.49588,0.63246,0.64008,0.0011189,0.0011189,0.0011189
91,3974.23,1.64157,0.81632,0.76163,0.91637,0.89166,0.93101,0.46167,1.34154,0.61947,0.62667,0.001109,0.001109,0.001109
92,4019.25,1.62551,0.7306,0.76714,0.91769,0.89128,0.9243,0.35597,1.65951,0.72447,0.65086,0.0010991,0.0010991,0.0010991
93,4063.72,1.70097,0.7872,0.7849,0.30659,0.14844,0.07427,0.01533,nan,nan,nan,0.0010892,0.0010892,0.0010892
94,4106.65,1.62254,0.7592,0.75816,0.92395,0.88607,0.9312,0.48736,1.28844,0.61918,0.62623,0.0010793,0.0010793,0.0010793
95,4150.71,1.59987,0.77108,0.76618,0.90214,0.86914,0.90517,0.44206,1.39803,0.66904,0.63028,0.0010694,0.0010694,0.0010694
96,4194.45,1.66353,0.75943,0.77293,0.8476,0.8473,0.85738,0.35178,1.52253,1.55557,0.6283,0.0010595,0.0010595,0.0010595
97,4237.71,1.61654,0.79388,0.76272,0.91563,0.89323,0.92396,0.44533,1.40522,0.6116,0.63333,0.0010496,0.0010496,0.0010496
98,4281.4,1.64899,0.82643,0.78183,0.92301,0.8976,0.93052,0.43149,1.46257,0.65112,0.63605,0.0010397,0.0010397,0.0010397
99,4325.16,1.59331,0.75644,0.74958,0.7168,0.65091,0.62942,0.22556,1.95916,0.77007,0.64808,0.0010298,0.0010298,0.0010298
100,4368.33,1.64371,0.72731,0.78417,0.9179,0.91718,0.94345,0.48132,1.36319,0.64663,0.63036,0.0010199,0.0010199,0.0010199
101,4411.99,1.69982,0.82768,0.79018,0.92058,0.89453,0.93271,0.44517,1.43824,0.69573,0.63664,0.00101,0.00101,0.00101
102,4455.24,1.65271,0.78285,0.76841,0.82597,0.78451,0.80775,0.29646,1.76046,0.77991,0.64075,0.0010001,0.0010001,0.0010001
103,4498.33,1.6159,0.75816,0.74641,0.84861,0.77604,0.80486,0.33677,1.64336,0.76413,0.63611,0.0009902,0.0009902,0.0009902
104,4542.42,1.49344,0.71475,0.73638,0.92314,0.91211,0.94232,0.42579,1.52884,0.68265,0.63937,0.0009803,0.0009803,0.0009803
105,4586.74,1.52913,0.77832,0.75176,0.91238,0.91471,0.92891,0.41756,1.55958,0.70189,0.64366,0.0009704,0.0009704,0.0009704
106,4630.44,1.58975,0.76293,0.76259,0.90928,0.87438,0.91566,0.43615,1.43083,0.62206,0.63471,0.0009605,0.0009605,0.0009605
107,4675.51,1.62164,0.71886,0.77738,0.84849,0.66721,0.76871,0.27786,1.87635,0.99503,0.64742,0.0009506,0.0009506,0.0009506
108,4717.97,1.61558,0.75646,0.76736,0.92289,0.9056,0.93118,0.40458,1.59296,0.62914,0.64866,0.0009407,0.0009407,0.0009407
109,4761.11,1.58427,0.74544,0.76578,0.88485,0.85545,0.8992,0.4095,1.48311,0.64353,0.63063,0.0009308,0.0009308,0.0009308
110,4804.64,1.58137,0.75509,0.77451,0.92025,0.92383,0.93995,0.50063,1.27411,0.61244,0.62365,0.0009209,0.0009209,0.0009209
111,4848.08,1.63967,0.74712,0.79177,0.49498,0.40583,0.29959,0.05932,2.60112,1.13075,0.69361,0.000911,0.000911,0.000911
112,4890.84,1.61136,0.75765,0.78968,0.91846,0.91992,0.93905,0.44953,1.42118,0.67322,0.63319,0.0009011,0.0009011,0.0009011
